Geographic_name,Geographic_area_type,Province or territory abbreviation,Population_2021,Population_2016,Population_perc_change_2016_2021,"Total private dwellings, 2021","Total private dwellings, 2016","Total private dwellings percentage change, 2016 to 2021","Private dwellings occupied by usual residents, 2021","Private dwellings occupied by usual residents, 2016","Private dwellings occupied by usual residents percentage change, 2016 to 2021","Land area in square kilometres, 2021","Population density per square kilometre, 2021","National population rank, 2021","Province/territory population rank, 2021",Latitude,Longitude
Point Lance,T,N.L.,87,102,-14.7,48,48,0,40,42,-4.8,28.29,3.1,"4,317",330,46.8261611,-54.085025
Point Leamington,T,N.L.,574,591,-2.9,341,334,2.1,278,279,-0.4,26.8,21.4,"2,772",136,49.3198666,-55.4141
Point May,T,N.L.,254,231,10,134,116,15.5,123,101,21.8,63.25,4,"3,662",239,46.9452555,-55.9358056
Point au Gaul,T,N.L.,67,88,-23.9,41,40,2.5,33,36,-8.3,3.89,17.2,"4,420",342,46.8671222,-55.7472111
Point of Bay,T,N.L.,137,154,-11,109,120,-9.2,67,71,-5.6,21.62,6.3,"4,111",302,49.2770277,-55.2679083
Pool's Cove,T,N.L.,143,193,-25.9,75,96,-21.9,62,77,-19.5,2.65,54.1,"4,087",298,47.68255,-55.4343944
Port Anson,T,N.L.,42,130,-67.7,72,109,-33.9,23,56,-58.9,7.72,5.4,"4,540",356,49.5366639,-55.8520028
Port Blandford,T,N.L.,513,488,5.1,398,317,25.6,258,226,14.2,51,10.1,"2,902",153,48.3414861,-54.1775472
Port Hope Simpson,T,N.L.,403,412,-2.2,186,176,5.7,159,152,4.6,32.02,12.6,"3,169",184,52.5433334,-56.2977778
Port Kirwan,T,N.L.,49,52,-5.8,53,64,-17.2,30,27,11.1,8.84,5.5,"4,516",353,46.9822056,-52.9176361
Port Rexton,T,N.L.,361,340,6.2,244,250,-2.4,169,157,7.6,11.64,31,"3,314",197,48.3995278,-53.3245444
Port Saunders,T,N.L.,678,674,0.6,319,312,2.2,284,281,1.1,38.5,17.6,"2,567",112,50.6620167,-57.2538723
Port au Choix,T,N.L.,742,789,-6,395,408,-3.2,360,363,-0.8,35.56,20.9,"2,455",100,50.7050139,-57.3270028
Port au Port East,T,N.L.,413,579,-28.7,220,286,-23.1,198,267,-25.8,25.06,16.5,"3,136",177,48.5804306,-58.6711361
Port au Port West-Aguathuna-Felix Cove,T,N.L.,384,449,-14.5,225,222,1.4,202,212,-4.7,16.97,22.6,"3,226",189,48.54625,-58.7731222
Portugal Cove South,T,N.L.,86,150,-42.7,85,91,-6.6,47,69,-31.9,1.08,79.9,"4,321",332,46.7044445,-53.2561111
Portugal Cove-St. Philip's,T,N.L.,8415,8147,3.3,"3,357","3,215",4.4,"3,170","3,028",4.7,57.61,146.1,490,8,47.6254028,-52.8380222
Postville,T,N.L.,188,177,6.2,83,112,-25.9,75,75,0,2.39,78.7,"3,895",268,54.91023,-59.802161
