Geographic_name,Geographic_area_type,Province or territory abbreviation,Population_2021,Population_2016,Population_perc_change_2016_2021,"Total private dwellings, 2021","Total private dwellings, 2016","Total private dwellings percentage change, 2016 to 2021","Private dwellings occupied by usual residents, 2021","Private dwellings occupied by usual residents, 2016","Private dwellings occupied by usual residents percentage change, 2016 to 2021","Land area in square kilometres, 2021","Population density per square kilometre, 2021","National population rank, 2021","Province/territory population rank, 2021",Latitude,Longitude
Bishop's Falls,T,N.L.,3082,3156,-2.3,"1,540","1,502",2.5,"1,422","1,396",1.9,26.38,116.8,"1,026",23,49.0209528,-55.4898944
Bonavista,T,N.L.,3190,3448,-7.5,"1,732","1,749",-1,"1,470","1,520",-3.3,31.56,101.1,"1,001",22,48.6317917,-53.1041333
Botwood,T,N.L.,2778,2875,-3.4,"1,389","1,302",6.7,"1,251","1,229",1.8,14.56,190.8,"1,102",27,49.1356472,-55.3731528
Branch,T,N.L.,177,228,-22.4,142,174,-18.4,96,108,-11.1,16.18,10.9,"3,944",278,46.8822222,-53.9644445
Brent's Cove,T,N.L.,119,157,-24.2,84,85,-1.2,64,75,-14.7,1.02,116.4,"4,177",307,49.9369444,-55.7069444
Brighton,T,N.L.,163,188,-13.3,97,98,-1,71,78,-9,2.26,72.2,"3,997",288,49.5400695,-55.6432555
Brigus,T,N.L.,699,723,-3.3,506,446,13.5,327,317,3.2,11.48,60.9,"2,527",107,47.5329806,-53.2150917
Bryant's Cove,T,N.L.,343,395,-13.2,149,162,-8,142,148,-4.1,4.9,70,"3,370",206,47.6760917,-53.1930222
Buchans,T,N.L.,590,642,-8.1,338,417,-18.9,304,331,-8.2,4.63,127.6,"2,732",129,48.8238,-56.8490694
Burgeo,T,N.L.,1176,1307,-10,660,655,0.8,571,615,-7.2,29.51,39.9,"1,926",71,47.6199167,-57.6216334
Burin,T,N.L.,2237,2315,-3.4,"1,155","1,145",0.9,"1,008",989,1.9,34.49,64.9,"1,286",33,47.082841,-55.175272
Burlington,T,N.L.,304,314,-3.2,135,144,-6.3,119,121,-1.7,4.09,74.3,"3,497",219,49.7501528,-56.0174223
Burnt Islands,T,N.L.,540,622,-13.2,251,257,-2.3,235,242,-2.9,9.48,57,"2,848",147,47.6141944,-58.8701306
Campbellton,T,N.L.,459,452,1.5,289,268,7.8,215,208,3.4,35.81,12.8,"3,025",165,49.2705194,-54.9319306
Cape Broyle,T,N.L.,499,489,2,314,291,7.9,228,211,8.1,10.09,49.5,"2,944",160,47.0965195,-52.9414917
Cape St. George,T,N.L.,809,853,-5.2,433,410,5.6,380,375,1.3,34.47,23.5,"2,354",95,48.4957027,-59.1849305
Carbonear,T,N.L.,4696,4858,-3.3,"2,289","2,166",5.7,"2,094","1,982",5.7,12.44,377.4,769,17,47.7315028,-53.2326611
Carmanville,T,N.L.,784,740,5.9,457,378,20.9,355,314,13.1,42.68,18.4,"2,392",97,49.3673055,-54.2905694
Centreville-Wareham-Trinity,T,N.L.,1116,1147,-2.7,581,561,3.6,499,489,2,37.04,30.1,"1,981",76,49.0000278,-53.9206694
Chance Cove,T,N.L.,213,256,-16.8,129,150,-14,111,123,-9.8,18.14,11.7,"3,819",257,47.6666472,-53.830925
Change Islands,T,N.L.,184,208,-11.5,204,196,4.1,104,108,-3.7,5.36,34.3,"3,912",273,49.6689444,-54.4037223
Channel-Port aux Basques,T,N.L.,3547,4067,-12.8,"1,814","1,954",-7.2,"1,652","1,851",-10.8,38.84,91.3,924,18,47.5955806,-59.1352917
Chapel Arm,T,N.L.,446,457,-2.4,241,244,-1.2,204,192,6.3,28.08,15.9,"3,056",166,47.5049111,-53.6661916
Clarenville,T,N.L.,6704,6291,6.6,"3,123","2,809",11.2,"2,804","2,500",12.2,139.91,47.9,601,12,48.1881389,-54.0557138
Clarke's Beach,T,N.L.,1400,1558,-10.1,678,642,5.6,599,555,7.9,12.64,110.7,"1,742",61,47.5320167,-53.303675
Coachman's Cove,T,N.L.,111,105,5.7,74,70,5.7,50,52,-3.8,18.99,5.8,"4,208",314,50.0681694,-56.1237305
Colinet,T,N.L.,103,80,28.8,81,73,11,54,39,38.5,6.01,17.1,"4,239",317,47.2195306,-53.5480611
Colliers,T,N.L.,613,654,-6.3,414,424,-2.4,269,277,-2.9,26.24,23.4,"2,690",122,47.4503222,-53.2482889
Come By Chance,T,N.L.,208,228,-8.8,108,125,-13.6,90,95,-5.3,39.55,5.3,"3,844",259,47.8415167,-53.9847806
Comfort Cove-Newstead,T,N.L.,345,407,-15.2,247,248,-0.4,160,182,-12.1,29.97,11.5,"3,363",204,49.3581556,-54.8758195
Conception Bay South,T,N.L.,27168,26199,3.7,"11,364","10,553",7.7,"10,711","9,934",7.8,59.72,454.9,169,2,47.4907778,-52.9951111
Conception Harbour,T,N.L.,624,685,-8.9,330,392,-15.8,280,298,-6,21.47,29.1,"2,672",120,47.438575,-53.2239
Conche,T,N.L.,149,170,-12.4,120,125,-4,76,79,-3.8,10.03,14.9,"4,060",295,50.8955084,-55.8866667
Cook's Harbour,T,N.L.,118,123,-4.1,92,87,5.7,67,57,17.5,1.94,61,"4,181",309,51.6078722,-55.863925
Cormack,T,N.L.,492,597,-17.6,230,288,-20.1,206,248,-16.9,133.65,3.7,"2,957",162,49.31595,-57.3833639
Corner Brook,CY,N.L.,19333,19806,-2.4,"9,552","9,395",1.7,"8,868","8,764",1.2,147.88,130.7,237,5,48.941111,-57.970278
Cottlesville,T,N.L.,244,271,-10,145,148,-2,120,122,-1.6,11.15,21.9,"3,703",245,49.5147223,-54.8752778
Cottlesville,T,N.L.,244,271,-10,145,148,-2,120,122,-1.6,11.15,21.9,"3,703",245,49.495225,-54.8545583
Cow Head,T,N.L.,398,428,-7,225,255,-11.8,184,203,-9.4,17.27,23.1,"3,184",185,49.919725,-57.7694834
Cox's Cove,T,N.L.,664,688,-3.5,335,338,-0.9,302,294,2.7,7.23,91.8,"2,597",115,49.1119861,-58.0805139
Crow Head,T,N.L.,156,177,-11.9,106,116,-8.6,70,82,-14.6,3.03,51.5,"4,028",291,49.67985,-54.7998834
Cupids,T,N.L.,699,743,-5.9,428,364,17.6,325,311,4.5,10.86,64.4,"2,527",107,47.5478056,-53.2244889
Daniel's Harbour,T,N.L.,220,253,-13,152,168,-9.5,114,119,-4.2,7.68,28.6,"3,784",254,50.2326473,-57.5818083
Deer Lake,T,N.L.,4864,5249,-7.3,"2,309","2,300",0.4,"2,139","2,164",-1.2,73.26,66.4,752,16,49.194994,-57.3897
Dover,T,N.L.,579,662,-12.5,264,287,-8,242,265,-8.7,11.12,52.1,"2,752",132,48.8869639,-53.9537778
Duntara,T,N.L.,36,30,20,47,42,11.9,18,16,12.5,17.64,2,"4,574",358,48.585975,-53.3810333
Eastport,T,N.L.,527,501,5.2,364,334,9,264,238,10.9,18.48,28.5,"2,878",152,48.6646722,-53.7676278
Elliston,T,N.L.,315,308,2.3,198,201,-1.5,148,142,4.2,10.07,31.3,"3,458",214,48.6291611,-53.0480361
Embree,T,N.L.,679,701,-3.1,327,331,-1.2,288,287,0.3,18.35,37,"2,563",111,49.3012472,-55.0437028
Englee,T,N.L.,489,527,-7.2,257,260,-1.2,215,216,-0.5,28.82,17,"2,967",163,50.7657028,-56.0709528
English Harbour East,T,N.L.,117,139,-15.8,66,73,-9.6,48,57,-15.8,2.81,41.7,"4,189",311,47.64608,-54.892783
Fermeuse,T,N.L.,266,325,-18.2,171,178,-3.9,126,134,-6,38.33,6.9,"3,624",234,46.9727667,-52.977475
Ferryland,T,N.L.,371,414,-10.4,252,254,-0.8,191,190,0.5,13.22,28.1,"3,277",193,47.0302389,-52.9056278
Flatrock,T,N.L.,1722,1683,2.3,675,641,5.3,638,608,4.9,18.1,95.1,"1,531",48,47.7049611,-52.7316555
Fleur de Lys,T,N.L.,207,244,-15.2,159,157,1.3,116,118,-1.7,39.54,5.2,"3,847",260,50.132925,-56.1570194
Flower's Cove,T,N.L.,272,270,0.7,144,133,8.3,119,110,8.2,6.77,40.2,"3,604",233,51.29535,-56.7202694
Fogo Island,T,N.L.,2117,2244,-5.7,"1,450","1,460",-0.7,964,979,-1.5,238.25,8.9,"1,334",38,49.658333,-54.1825
Forteau,T,N.L.,377,409,-7.8,181,193,-6.2,161,171,-5.8,7.5,50.3,"3,255",191,51.4915611,-56.9478916
Fortune,T,N.L.,1285,1401,-8.3,767,782,-1.9,617,629,-1.9,54.77,23.5,"1,823",64,47.0406833,-55.8614917
Fox Cove-Mortier,T,N.L.,252,295,-14.6,148,155,-4.5,119,124,-4,25.39,9.9,"3,671",240,47.1023611,-55.1103778
Fox Harbour,T,N.L.,226,252,-10.3,136,133,2.3,114,116,-1.7,19.81,11.4,"3,764",253,47.3215,-53.8827166
Frenchman's Cove,T,N.L.,159,169,-5.9,126,134,-6,78,80,-2.5,69.07,2.3,"4,009",290,47.161108,-55.41835
